SOURCE,INDEX_COL,ID,NAME,URL
Artist,48,6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,https://api.spotify.com/v1/artists/6ltzsmQQbmdoHHbLZ4ZN25
Artist,49,3JhNCzhSMTxs9WLGJJxWOY,Macklemore,https://api.spotify.com/v1/artists/3JhNCzhSMTxs9WLGJJxWOY
Artist,50,6WLvgbfYXQPO396oJEYCsi,Macklemore & Ryan Lewis,https://api.spotify.com/v1/artists/6WLvgbfYXQPO396oJEYCsi
Artist,51,3xCJGN3GDCMVItSBESVKBq,Mag$,https://api.spotify.com/v1/artists/3xCJGN3GDCMVItSBESVKBq
Artist,52,59E09Es8P8Kj2ANWsqS6h3,Marigo Bay,https://api.spotify.com/v1/artists/59E09Es8P8Kj2ANWsqS6h3
Artist,53,64KEffDW9EtZ1y2vBYgq8T,Marshmello,https://api.spotify.com/v1/artists/64KEffDW9EtZ1y2vBYgq8T
Artist,54,4lAfwiYEwAOZM4oK4Glv3F,Meagan Allen,https://api.spotify.com/v1/artists/4lAfwiYEwAOZM4oK4Glv3F
Artist,55,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,https://api.spotify.com/v1/artists/5YGY8feqx7naU7z4HrwZM6
Artist,56,6TYO6KHAK5PCoyNSuvbOmW,Naked Face,https://api.spotify.com/v1/artists/6TYO6KHAK5PCoyNSuvbOmW
Artist,57,6olE6TJLqED3rqDCT0FyPh,Nirvana,https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh
Artist,58,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,https://api.spotify.com/v1/artists/1McMsnEElThX1knmY4oliG
Artist,59,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,https://api.spotify.com/v1/artists/5Pwc4xIPtQLFEnJriah9YJ
Artist,60,6n28c9qs9hNGriNa72b26u,PNAU,https://api.spotify.com/v1/artists/6n28c9qs9hNGriNa72b26u
Artist,61,0gadJ2b9A4SKsB1RFkBb66,Passenger,https://api.spotify.com/v1/artists/0gadJ2b9A4SKsB1RFkBb66
Artist,62,246dkjvS1zLTtiykXe5h60,Post Malone,https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60
Artist,63,1dfeR4HaWDbWqFHLkxsg1d,Queen,https://api.spotify.com/v1/artists/1dfeR4HaWDbWqFHLkxsg1d
Artist,64,4e0nWw2r4BoQSKPQ2zpU13,Ray Dalton,https://api.spotify.com/v1/artists/4e0nWw2r4BoQSKPQ2zpU13
Artist,65,25jadPbOBfNjPVYbCHEXy2,Rocco Racks,https://api.spotify.com/v1/artists/25jadPbOBfNjPVYbCHEXy2
Artist,66,4myTppRgh0rojLxx8RycOp,Ryan Lewis,https://api.spotify.com/v1/artists/4myTppRgh0rojLxx8RycOp
Artist,67,7tYKF4w9nC0nq9CsPZTHyP,SZA,https://api.spotify.com/v1/artists/7tYKF4w9nC0nq9CsPZTHyP
Artist,68,5M719s0iFExbYpmLDMudPJ,Sentury,https://api.spotify.com/v1/artists/5M719s0iFExbYpmLDMudPJ
Artist,69,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,https://api.spotify.com/v1/artists/7n2wHs1TKAczGzO7Dd2rGr
Artist,70,1zNqQNIdeOUZHb8zbZRFMX,Swae Lee,https://api.spotify.com/v1/artists/1zNqQNIdeOUZHb8zbZRFMX
Artist,71,3enznbGqfD27y42EipONeL,Sydney Gordon,https://api.spotify.com/v1/artists/3enznbGqfD27y42EipONeL
Artist,72,2nmXKh1URuUD1DaIoWJ9ww,TK RUN IT UP,https://api.spotify.com/v1/artists/2nmXKh1URuUD1DaIoWJ9ww
Artist,73,06HL4z0CvFAxyc27GXpf02,Taylor Swift,https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02
Artist,74,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,https://api.spotify.com/v1/artists/69GGBxA162lTqCwzJG5jLp
